timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
301195248.0,0.3271,0.0137,-0.0674,-13.448,79.472,-4.653,66.93193453168305,-33.480934538025785,-46.79563758999901
301208248.0,0.2949,0.0,-0.0977,-13.754,108.158,-6.851,69.0175851750094,-32.86799367113808,-46.88191247999901
301221248.0,0.2954,0.0151,-0.1338,-12.716,130.802,-9.902,70.9459694824479,-31.855337070687145,-47.00785036999901
301234248.0,0.2881,0.0049,-0.186,-10.275,158.451,-12.588,72.96548076859203,-30.343660416501972,-47.16870625999901
301247248.0,0.2139,-0.0122,-0.2085,-4.659,169.01,-13.565,67.91330559689798,-28.498479750739286,-47.34226314999901
301260248.0,0.2021,-0.0449,-0.3594,7.181,182.194,-17.532,63.188462561216824,-26.191789033025128,-47.567391039999016
301273248.0,0.1523,-0.0815,-0.4731,20.914,186.833,-20.645,58.78613887861887,-23.640939732939522,-47.832987929999014
301286248.0,0.0693,-0.0508,-0.6235,29.215,173.527,-22.232,54.47528881514401,-21.085025727228775,-48.11921581999901
301299248.0,0.1465,-0.0762,-0.7896,29.642,152.043,-28.091,50.27318209661253,-18.936776194944365,-48.48161070999901
301312248.0,0.0933,-0.0474,-1.1138,46.549,153.935,-28.884,46.309005343680596,-16.693799347472616,-48.85431459999901
301325248.0,0.0386,-0.1499,-1.2119,64.066,142.155,-26.321,42.739563488288134,-14.586289033004434,-49.193699489999005
301338248.0,-0.0615,-0.1001,-1.4854,77.982,113.102,-20.95,39.35488401137847,-12.80754382614914,-49.463261379999004
301351248.0,-0.0244,-0.0054,-1.7861,76.823,90.336,-10.147,35.949491134967914,-11.386069067246787,-49.592384269999
301364248.0,0.0244,0.0137,-2.0239,68.705,68.547,-0.564,39.697561596997836,-10.300083121823214,-49.596928159999
301377248.0,0.0869,0.0435,-2.2769,57.535,53.105,8.225,43.21423159249429,-9.46243962762636,-49.487215049999
301390248.0,0.1685,0.0063,-2.5117,48.441,34.428,19.944,46.56372634486161,-8.912547916327249,-49.225154939999
301403248.0,0.3262,0.0181,-2.6621,36.722,13.188,24.155,49.69201426740461,-8.707206845714566,-48.908351829999
301416248.0,0.4224,0.0034,-2.6646,18.839,-14.461,23.057,52.53623596124642,-8.898660553147785,-48.605822719999
301429248.0,0.521,0.0078,-2.7261,-0.692,-41.195,17.075,55.07293173648732,-9.463113733366246,-48.381059609999
301442248.0,0.5386,0.0493,-2.7187,-23.519,-63.594,12.314,57.25057896140044,-10.309327974968156,-48.218189499999
301455248.0,0.5747,0.0161,-2.626,-38.412,-65.792,12.436,59.20868827829361,-11.189428179513694,-48.053733389998996
301468248.0,0.5508,0.021,-2.438,-43.539,-65.426,12.192,61.05947271195506,-12.054981903634836,-47.892449279999
301481248.0,0.5107,0.019,-2.1909,-47.872,-47.542,12.681,62.817971871327885,-12.68319539959431,-47.724808169999
301494248.0,0.3691,-0.0044,-1.9653,-37.557,-67.867,12.131,57.48521706975259,-13.508101242101828,-47.564317059999
301507248.0,0.3096,0.0103,-1.7461,-31.942,-90.633,11.521,59.52132742471711,-14.5949020075225,-47.411755949999
301520248.0,0.1992,-0.0063,-1.5259,-27.12,-118.282,12.558,54.389638497516515,-15.959878882356552,-47.245713839999
301533248.0,0.1904,-0.0269,-1.4243,-21.444,-140.926,13.352,49.4498041898608,-17.58954465888406,-47.069349729999
301546248.0,0.1309,-0.0234,-1.313,-17.782,-156.673,14.756,44.654200816335035,-19.34882615785865,-46.874733619999
301559248.0,0.1348,-0.0098,-1.2959,-15.402,-156.673,14.756,39.97307621989208,-21.07784182124755,-46.680117509999
301572248.0,0.1143,-0.0151,-1.189,-12.777,-152.034,13.535,35.42490306601897,-22.704220246795245,-46.501374399999
301585248.0,0.0884,-0.0088,-1.1157,-9.908,-141.414,12.558,30.99873051443651,-24.14356229775523,-46.335332289999
301598248.0,0.0376,-0.0249,-0.9683,-6.307,-129.573,11.033,26.7273809406389,-25.35712114648714,-46.189115179999
301611248.0,-0.0127,-0.0181,-0.8882,-3.256,-117.427,9.018,22.574215747973838,-26.330828374725275,-46.069093069999
301624248.0,-0.0527,-0.0122,-0.7612,1.505,-103.573,8.408,18.559784816534073,-27.045743546331153,-45.957000959999
301637248.0,-0.1416,-0.0352,-0.606,7.426,-92.037,7.554,14.749198380402918,-27.4159783685864,-45.856010849999
