t,ax,ay,az,gx,gy,gz
26193244.0,-0.0176,-0.001,-1.0757,0.34,-0.09,0.466
26206244.0,-0.0176,-0.001,-1.0771,0.095,0.093,0.588
26219244.0,-0.0229,0.0068,-1.0581,-0.088,0.032,0.405
26232244.0,-0.0205,0.0015,-1.0557,-0.21,-0.09,0.588
26245244.0,-0.0176,0.0049,-1.0625,-0.271,-0.151,0.71
26258244.0,-0.0195,0.002,-1.0645,0.034,0.032,0.588
26271244.0,-0.0146,0.002,-1.0532,0.218,0.093,0.71
26284244.0,-0.02,0.002,-1.0669,-0.027,-0.029,0.527
26297244.0,-0.0195,0.0049,-1.064,-0.027,0.154,0.771
26310244.0,-0.0186,-0.0005,-1.0605,-0.149,0.093,0.527
26323244.0,-0.0229,0.0044,-1.0586,-0.088,-0.151,0.771
26336244.0,-0.0205,0.0063,-1.0669,-0.027,-0.212,0.588
26349244.0,-0.0186,0.0059,-1.0708,0.034,0.276,0.649
26362244.0,-0.0205,0.0039,-1.0601,-0.149,-0.09,0.71
26375244.0,-0.0161,0.0034,-1.062,-0.21,-0.029,0.466
26388244.0,-0.0239,0.0054,-1.0645,-0.149,0.093,0.588
26401244.0,-0.0225,0.0029,-1.0605,0.034,0.093,0.588
26414244.0,-0.022,0.0024,-1.0688,-0.027,0.032,0.466
26427244.0,-0.0195,0.0015,-1.0635,-0.088,0.215,0.71
26440244.0,-0.0205,0.0039,-1.061,-0.088,-0.151,0.649
26453244.0,-0.0205,0.0024,-1.0605,0.218,-0.029,0.832
26466244.0,-0.019,0.0029,-1.062,0.034,-0.029,0.588
26479244.0,-0.02,0.0029,-1.0586,0.095,0.032,0.893
26492244.0,-0.02,0.0039,-1.0596,0.218,-0.151,0.771
26505244.0,-0.0215,0.0054,-1.0698,-0.149,-0.09,0.588
26518244.0,-0.0181,0.0029,-1.0693,-0.088,0.032,0.832
26531244.0,-0.019,0.0049,-1.0571,-0.027,-0.029,0.71
26544244.0,-0.02,0.0029,-1.0669,-0.027,-0.212,0.588
26557244.0,-0.02,0.0,-1.063,-0.271,0.032,0.649
26570244.0,-0.0195,0.0,-1.0601,-0.21,-0.151,0.649
26583244.0,-0.0229,0.0039,-1.0713,0.034,0.032,0.832
26596244.0,-0.019,0.001,-1.0581,0.034,-0.212,0.71
26609244.0,-0.0205,0.0039,-1.063,-0.21,-0.212,0.832
26622244.0,-0.0215,0.0029,-1.0688,0.034,0.154,0.588
26635244.0,-0.021,0.0059,-1.0601,0.156,-0.09,0.588
26648244.0,-0.0205,0.0029,-1.0654,-0.088,0.032,0.466
26661244.0,-0.021,0.0054,-1.0571,-0.088,-0.029,0.527
26674244.0,-0.0176,0.0039,-1.0659,-0.088,0.093,0.832
26687244.0,-0.0234,0.0088,-1.0674,-0.027,0.032,0.71
26700244.0,-0.0176,0.0068,-1.062,0.095,-0.212,0.527
26713244.0,-0.021,0.0015,-1.0659,-0.149,0.093,0.71
26726244.0,-0.021,0.0034,-1.0596,-0.027,-0.212,0.527
26739244.0,-0.022,0.0034,-1.0615,0.095,0.032,0.649
26752244.0,-0.021,0.0024,-1.063,0.034,-0.151,0.649
26765244.0,-0.0215,0.0054,-1.064,-0.027,0.032,0.71
26778244.0,-0.0186,0.0024,-1.0664,0.095,0.215,0.588
26791244.0,-0.0249,0.0015,-1.0605,0.034,0.093,0.466
26804244.0,-0.0195,0.0015,-1.0654,-0.21,-0.09,0.771
26817244.0,-0.0259,0.0015,-1.0605,-0.027,-0.029,0.649
26830244.0,-0.0186,0.0049,-1.063,0.095,0.032,0.832
26843244.0,-0.0195,0.0059,-1.0669,0.156,0.093,0.771
26856244.0,-0.0176,0.0039,-1.0635,0.156,-0.029,0.588
26869244.0,-0.0195,0.0034,-1.0635,0.034,0.093,0.588
26882244.0,-0.0181,0.0005,-1.0635,-0.088,0.032,0.71
26895244.0,-0.0205,0.0024,-1.0601,-0.027,-0.029,0.466
26908244.0,-0.0225,0.0015,-1.064,0.156,-0.09,0.771
26921244.0,-0.0176,0.0059,-1.064,-0.088,0.093,0.527
26934244.0,-0.021,0.0024,-1.0596,0.156,0.032,0.71
26947244.0,-0.0205,0.0044,-1.0635,0.034,0.032,0.893
26960244.0,-0.02,0.0049,-1.0703,-0.027,0.215,0.71
26973244.0,-0.02,0.0049,-1.061,-0.393,-0.212,0.893
26986244.0,-0.021,0.0039,-1.0728,0.034,-0.151,0.588
26999244.0,-0.0195,0.0059,-1.064,-0.027,-0.09,0.71
27012244.0,-0.0195,0.0039,-1.0615,-0.21,-0.029,0.405
27025244.0,-0.0186,0.0029,-1.0576,0.034,0.032,0.588
27038244.0,-0.0166,0.0015,-1.0635,0.034,-0.029,0.588
27051244.0,-0.0205,0.0034,-1.062,-0.088,0.093,0.771
27064244.0,-0.0205,0.0034,-1.0659,-0.149,0.215,0.588
27077244.0,-0.021,0.0049,-1.0605,-0.027,-0.029,0.954
27090244.0,-0.0176,0.002,-1.063,-0.088,-0.09,0.893
27103244.0,-0.0166,0.0049,-1.0679,-0.027,-0.09,0.71
27116244.0,-0.02,0.0024,-1.0522,-0.027,0.032,0.71
27129244.0,-0.0186,0.0015,-1.0605,-0.149,-0.09,0.771
27142244.0,-0.0205,0.0024,-1.0615,-0.027,0.093,0.832
27155244.0,-0.02,0.0024,-1.0659,0.156,-0.029,0.527
27168244.0,-0.0225,0.0049,-1.0645,0.156,0.032,0.771
27181244.0,-0.0229,0.0068,-1.0576,-0.21,-0.029,0.71
27194244.0,-0.0142,0.0034,-1.0684,-0.027,-0.09,0.71
27207244.0,-0.0186,0.0,-1.064,-0.21,0.032,0.893
27220244.0,-0.0156,0.0044,-1.0625,-0.088,0.154,0.588
27233244.0,-0.0166,0.0029,-1.0601,-0.027,-0.029,0.588
27246244.0,-0.0181,0.0059,-1.0605,-0.149,-0.09,0.954
27259244.0,-0.02,0.0034,-1.063,-0.271,-0.151,0.649
27272244.0,-0.0195,0.0024,-1.064,-0.088,0.032,0.527
27285244.0,-0.021,0.0039,-1.0713,-0.027,-0.09,0.588
27298244.0,-0.019,0.0078,-1.0625,-0.088,-0.151,0.71
27311244.0,-0.021,0.0029,-1.0659,0.034,-0.09,0.649
27324244.0,-0.021,0.0068,-1.0654,0.095,-0.029,0.893
27337244.0,-0.0215,0.0039,-1.0688,0.034,0.154,0.832
27350244.0,-0.0181,0.0039,-1.0669,-0.027,0.215,0.649
27363244.0,-0.0186,0.0039,-1.0625,-0.027,0.093,0.771
27376244.0,-0.0195,0.0039,-1.0674,-0.027,0.093,0.588
27389244.0,-0.0146,0.0054,-1.0615,-0.21,-0.151,0.71
27402244.0,-0.019,0.0034,-1.063,0.156,-0.029,0.71
27415244.0,-0.02,-0.001,-1.0635,-0.149,-0.212,0.649
27428244.0,-0.02,0.0068,-1.0659,-0.027,-0.09,0.832
27441244.0,-0.0195,0.0054,-1.062,-0.027,0.032,0.466
27454244.0,-0.0215,0.0034,-1.0635,-0.027,0.093,0.466
27467244.0,-0.022,0.0054,-1.062,-0.027,-0.334,0.771
27480244.0,-0.021,0.0044,-1.0601,-0.027,-0.334,0.771
27493244.0,-0.019,0.0044,-1.0527,-0.149,-0.029,0.588
27506244.0,-0.0234,0.0,-1.0693,-0.027,-0.029,0.649
27519244.0,-0.022,0.0029,-1.0659,0.156,0.215,0.588
27532244.0,-0.02,0.0054,-1.063,-0.21,-0.09,0.588
27545244.0,-0.022,0.002,-1.064,-0.21,0.093,0.527
27558244.0,-0.0186,0.0015,-1.064,-0.027,0.093,0.832
27571244.0,-0.021,0.0029,-1.0615,-0.149,-0.212,0.71
27584244.0,-0.0239,0.0044,-1.0615,0.034,0.154,0.893
27597244.0,-0.0176,0.0049,-1.063,-0.027,-0.09,0.71
27610244.0,-0.0186,0.0015,-1.0664,-0.088,0.093,0.588
27623244.0,-0.0215,0.0024,-1.0615,0.095,-0.151,0.71
27636244.0,-0.0239,0.0068,-1.062,0.095,-0.029,0.71
27649244.0,-0.0186,0.002,-1.0635,0.095,0.093,0.893
27662244.0,-0.021,0.0059,-1.0645,-0.027,0.032,0.71
27675244.0,-0.0176,0.001,-1.0684,0.095,-0.151,0.649
27688244.0,-0.019,0.0039,-1.064,0.218,-0.09,0.649
27701244.0,-0.0186,0.002,-1.0635,-0.027,-0.212,0.649
27714244.0,-0.0166,0.0,-1.0581,-0.149,0.154,0.649
27727244.0,-0.021,0.0044,-1.0674,-0.149,0.032,0.588
27740244.0,-0.0244,0.002,-1.0664,0.218,0.093,0.71
27753244.0,-0.0215,0.0034,-1.0688,0.156,-0.09,0.771
27766244.0,-0.019,0.0063,-1.0615,-0.21,-0.334,0.832
27779244.0,-0.022,0.0044,-1.0557,0.218,-0.09,0.71
27792244.0,-0.021,0.0039,-1.0723,0.095,0.093,0.466
27805244.0,-0.0156,0.0015,-1.0591,-0.027,0.032,0.405
27818244.0,-0.0161,0.0054,-1.0566,-0.088,0.276,0.527
27831244.0,-0.0186,0.0049,-1.0596,-0.149,0.215,0.771
27844244.0,-0.0176,0.0034,-1.0586,0.218,-0.09,0.527
27857244.0,-0.0195,0.001,-1.0601,0.034,0.093,0.649
27870244.0,-0.0166,-0.001,-1.063,0.095,-0.151,0.588
27883244.0,-0.0176,0.0059,-1.0654,-0.088,-0.09,0.771
27896244.0,-0.0205,0.0039,-1.0684,-0.21,-0.029,0.527
27909244.0,-0.0161,0.0049,-1.0605,-0.21,0.032,0.649
27922244.0,-0.022,0.0029,-1.0664,-0.271,-0.029,0.771
27935244.0,-0.0205,0.0049,-1.0605,-0.393,-0.212,0.71
27948244.0,-0.0259,0.0088,-1.0581,-0.027,-0.09,0.832
27961244.0,-0.02,0.0034,-1.0625,-0.027,-0.029,0.893
27974244.0,-0.02,0.002,-1.0649,-0.332,-0.151,0.771
27987244.0,-0.0225,0.0059,-1.0688,-0.027,0.215,0.832
28000244.0,-0.0195,0.0039,-1.0669,-0.088,0.093,0.71
28013244.0,-0.02,0.0039,-1.0625,-0.027,-0.151,0.71
28026244.0,-0.0195,0.002,-1.0635,0.034,0.032,0.71
28039244.0,-0.0181,0.0039,-1.0664,-0.149,-0.09,0.71
28052244.0,-0.0195,0.0068,-1.0615,0.095,-0.029,0.649
28065244.0,-0.0249,0.001,-1.0679,0.034,-0.029,0.527
28078244.0,-0.02,0.0063,-1.0605,0.034,-0.029,0.588
28091244.0,-0.0161,0.0039,-1.0625,-0.271,0.032,0.71
28104244.0,-0.0176,0.0034,-1.0649,-0.149,-0.212,0.649
28117244.0,-0.0181,0.0015,-1.0645,-0.149,0.032,0.527
28130244.0,-0.0186,0.001,-1.0615,0.156,-0.212,0.771
28143244.0,-0.02,0.0059,-1.0625,-0.027,0.032,0.649
28156244.0,-0.019,0.0029,-1.063,-0.149,0.215,0.527
28169244.0,-0.0215,0.0024,-1.0571,0.034,0.032,0.466
28182244.0,-0.021,0.0039,-1.062,0.034,-0.09,0.588
28195244.0,-0.0205,0.0034,-1.0708,-0.027,0.154,0.527
28208244.0,-0.019,0.0039,-1.061,0.034,0.154,0.588
28221244.0,-0.0205,0.0068,-1.0635,-0.332,-0.09,0.588
28234244.0,-0.0171,0.0044,-1.0635,0.156,0.032,0.893
28247244.0,-0.0215,0.0039,-1.0596,-0.149,-0.273,0.527
28260244.0,-0.0166,-0.0005,-1.062,-0.027,-0.151,0.771
28273244.0,-0.0186,0.0034,-1.0591,-0.271,0.032,0.649
28286244.0,-0.0225,0.0024,-1.0708,0.156,-0.029,0.771
28299244.0,-0.0176,0.0044,-1.0625,-0.149,-0.09,0.71
28312244.0,-0.0244,0.0,-1.062,0.095,0.215,0.588
28325244.0,-0.022,0.0039,-1.0645,-0.027,0.032,0.832
28338244.0,-0.0225,0.0015,-1.0601,-0.21,0.032,0.649
28351244.0,-0.0215,0.0044,-1.0654,0.095,-0.212,0.954
28364244.0,-0.021,0.0024,-1.0615,-0.149,-0.09,0.71
28377244.0,-0.0205,0.0044,-1.0674,-0.21,-0.151,0.71
28390244.0,-0.0205,0.0063,-1.0708,0.156,-0.09,0.71
28403244.0,-0.0239,0.0049,-1.0645,0.218,-0.09,0.893
28416244.0,-0.0215,0.002,-1.0635,0.034,-0.334,0.466
28429244.0,-0.022,0.0073,-1.0693,0.156,0.093,0.588
28442244.0,-0.021,0.0029,-1.0605,0.034,-0.029,0.71
28455244.0,-0.02,0.0015,-1.0596,-0.027,-0.151,0.649
28468244.0,-0.0171,0.0034,-1.061,0.218,-0.029,0.649
28481244.0,-0.0205,0.0054,-1.062,-0.027,-0.151,0.649
28494244.0,-0.0176,0.0039,-1.0649,0.034,-0.151,0.649
28507244.0,-0.021,0.0015,-1.0649,-0.088,0.093,0.71
28520244.0,-0.02,0.002,-1.0615,0.095,0.093,0.527
28533244.0,-0.0244,0.002,-1.0601,0.095,0.093,0.771
28546244.0,-0.0186,0.0024,-1.0659,0.095,0.032,0.71
28559244.0,-0.0244,0.0024,-1.0596,0.034,0.032,0.71
